Genus,Species,Gene_location,nucl
Calendula,officinalis,NCBI,AF310155.1
Calendula,officinalis,NCBI,AF310156.1
Calendula,officinalis,NCBI,AF343065.1
Calendula,officinalis,NCBI,AJ245938.1
Carthamus,tinctorius,NCBI,KC257447.1
Carthamus,tinctorius,NCBI,KC257448.1
Carthamus,tinctorius,NCBI,KC257449.1
Carthamus,tinctorius,NCBI,KC257450.1
Carthamus,tinctorius,NCBI,KC257451.1
Carthamus,tinctorius,NCBI,KC257452.1
Carthamus,tinctorius,NCBI,KC257453.1
Carthamus,tinctorius,NCBI,KC257454.1
Carthamus,tinctorius,NCBI,KC257455.1
Carthamus,tinctorius,NCBI,KC257456.1
Carthamus,tinctorius,NCBI,KC257457.1
Crepis,alpina,NCBI,DQ289485.1
Crepis,alpina,NCBI,DQ289486.1
Crepis,alpina,NCBI,DQ289487.1
Dimorphotheca,sinuata,NCBI,AY166777.1
Helianthus,annuus,NCBI,AF251842.1
Helianthus,annuus,NCBI,AF251843.1
Helianthus,annuus,NCBI,AF251844.1
Helianthus,annuus,NCBI,AY166773.1
Helichrysum,bracteatum,NCBI,AY166778.1
Momordica,charantia,NCBI,AF182521.1
Petroselinum,crispum,NCBI,U86072.1
Petroselinum,crispum,NCBI,U86374.1
Physaria,fendleri,NCBI,KC972621.1
Physaria,fendleri,NCBI,KC972619.1
Punica,granatum,NCBI,AJ437140.1
Punica,granatum,NCBI,AY178447.1
Ricinus,communis,NCBI,U22378.1
